created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2023-11-27T06:53:42+00:00,1,1919,1498,1534,1568,1104,59.00,23.60,,,,
2023-11-27T07:35:25+00:00,2,1895,1461,1485,1559,1104,56.40,24.00,,,,
2023-11-27T08:17:04+00:00,3,1890,1468,1493,1519,1110,56.00,23.60,,,,
2023-11-27T08:58:44+00:00,4,1894,1471,1489,1526,1100,53.60,23.50,,,,
2023-11-27T09:40:24+00:00,5,1887,1466,1487,1523,1110,53.90,23.60,,,,
2023-11-27T10:22:03+00:00,6,1904,1490,1519,1529,1095,53.70,23.40,,,,
2023-11-27T11:03:44+00:00,7,1912,1502,1535,1531,1104,55.60,23.30,,,,
2023-11-27T11:45:25+00:00,8,2003,1648,1739,1535,1104,54.40,23.30,,,,
2023-11-27T12:27:04+00:00,9,1956,1535,1591,1531,1078,53.90,23.40,,,,
2023-11-27T13:08:54+00:00,10,1939,1516,1535,1534,1077,56.00,23.20,,,,
2023-11-27T13:50:24+00:00,11,1937,1509,1527,1535,1055,57.00,22.90,,,,
2023-11-27T14:32:04+00:00,12,1932,1495,1510,1545,1052,58.60,23.00,,,,
2023-11-27T15:13:44+00:00,13,1924,1488,1496,1535,1038,58.70,23.00,,,,
2023-11-27T16:37:04+00:00,14,1923,1488,1500,1535,1040,58.90,22.90,,,,
2023-11-27T17:18:44+00:00,15,1920,1485,1489,1535,1037,58.50,22.90,,,,
2023-11-27T18:00:23+00:00,16,1934,1494,1497,1548,1047,59.50,22.90,,,,
2023-11-27T18:42:03+00:00,17,1914,1473,1473,1535,1040,61.40,22.90,,,,
2023-11-27T19:23:44+00:00,18,1913,1474,1474,1558,1032,59.00,22.80,,,,
2023-11-27T20:05:24+00:00,19,1912,1467,1465,1535,1037,59.00,22.80,,,,
2023-11-27T20:47:04+00:00,20,1905,1467,1460,1557,1035,60.80,22.70,,,,
2023-11-27T21:28:44+00:00,21,1903,1457,1453,1559,1017,61.10,22.80,,,,
2023-11-27T22:52:04+00:00,22,1910,1458,1449,1563,1033,61.30,22.90,,,,
2023-11-27T23:33:45+00:00,23,1900,1453,1440,1557,1012,62.30,22.90,,,,
2023-11-28T00:15:24+00:00,24,1896,1450,1441,1560,1041,61.10,22.90,,,,
2023-11-28T00:57:03+00:00,25,1927,1504,1534,1526,1074,60.40,23.20,,,,
2023-11-28T01:38:47+00:00,26,1933,1498,1495,1506,1085,60.20,24.30,,,,
2023-11-28T02:20:28+00:00,27,1967,1599,1591,1548,1175,62.40,23.40,,,,
2023-11-28T03:02:07+00:00,28,1988,1653,1668,1581,1481,56.70,25.10,,,,
2023-11-28T03:43:46+00:00,29,1995,1675,1693,1590,1562,50.80,27.10,,,,
2023-11-28T05:07:06+00:00,30,1947,1584,1569,1535,1642,47.40,27.80,,,,
2023-11-28T05:48:46+00:00,31,1925,1572,1554,1535,1721,46.70,27.50,,,,
2023-11-28T06:30:36+00:00,32,1921,1571,1543,1553,1781,46.40,27.80,,,,
2023-11-28T07:12:07+00:00,33,1926,1581,1570,1568,1726,47.30,28.00,,,,
2023-11-28T07:53:46+00:00,34,1904,1555,1534,1554,1643,47.30,28.20,,,,
2023-11-28T08:35:30+00:00,35,1949,1628,1656,1548,1508,45.10,27.80,,,,
2023-11-28T09:17:07+00:00,36,1900,1535,1534,1530,1442,46.10,27.90,,,,
2023-11-28T09:58:49+00:00,37,1905,1539,1535,1526,1344,44.90,27.40,,,,
2023-11-28T10:40:27+00:00,38,1917,1573,1566,1535,1314,46.30,26.90,,,,
2023-11-28T11:22:07+00:00,39,1966,1643,1651,1582,1262,46.20,27.00,,,,
2023-11-28T12:03:46+00:00,40,1939,1603,1616,1559,1206,45.20,27.80,,,,
2023-11-28T12:45:26+00:00,41,1954,1621,1634,1561,1196,44.00,27.90,,,,
2023-11-28T13:27:06+00:00,42,1949,1618,1631,1569,1194,45.70,27.90,,,,
2023-11-28T14:08:49+00:00,43,1961,1638,1655,1568,1166,45.80,28.00,,,,
2023-11-28T14:50:26+00:00,44,1951,1619,1640,1569,1177,46.60,27.90,,,,
2023-11-28T15:32:05+00:00,45,1951,1616,1634,1565,1154,46.20,27.90,,,,
2023-11-28T16:13:47+00:00,46,1952,1624,1645,1579,1139,46.20,27.90,,,,
2023-11-28T16:55:26+00:00,47,1949,1631,1650,1566,1133,46.80,27.90,,,,
2023-11-28T17:37:06+00:00,48,1953,1625,1651,1571,1125,46.60,27.90,,,,
2023-11-28T18:18:47+00:00,49,1967,1649,1675,1561,1121,46.10,27.90,,,,
2023-11-28T19:00:26+00:00,50,1969,1645,1668,1572,1115,46.90,27.90,,,,
2023-11-28T19:42:08+00:00,51,1962,1632,1661,1565,1115,46.80,27.90,,,,
2023-11-28T20:23:47+00:00,52,1971,1650,1676,1576,1107,46.40,27.90,,,,
2023-11-28T21:05:28+00:00,53,1938,1607,1635,1555,1098,47.40,27.90,,,,
2023-11-28T21:47:07+00:00,54,1960,1628,1648,1548,1106,45.00,27.80,,,,
2023-11-28T22:28:49+00:00,55,1952,1615,1645,1557,1092,46.40,27.50,,,,
2023-11-28T23:10:26+00:00,56,1952,1621,1644,1549,1111,46.70,27.40,,,,
2023-11-28T23:52:07+00:00,57,1957,1617,1646,1570,1088,48.20,27.20,,,,
2023-11-29T00:33:46+00:00,58,1958,1624,1643,1574,1071,48.60,27.20,,,,
2023-11-29T01:15:26+00:00,59,1969,1640,1655,1580,1051,48.60,27.50,,,,
2023-11-29T01:57:06+00:00,60,1987,1641,1658,1574,1011,50.20,27.50,,,,
2023-11-29T02:38:46+00:00,61,2002,1666,1680,1599,995,49.10,27.60,,,,
2023-11-29T04:02:08+00:00,62,1957,1619,1622,1585,957,48.30,27.90,,,,
2023-11-29T04:43:46+00:00,63,1950,1616,1614,1575,944,48.20,27.80,,,,
2023-11-29T05:25:26+00:00,64,1946,1616,1618,1570,944,48.20,27.80,,,,
2023-11-29T06:07:06+00:00,65,1946,1622,1629,1569,934,46.70,27.80,,,,
2023-11-29T06:48:48+00:00,66,1938,1608,1615,1562,922,46.90,27.80,,,,
2023-11-29T07:30:27+00:00,67,1949,1618,1627,1566,961,47.40,27.80,,,,
2023-11-29T08:12:07+00:00,68,1945,1617,1634,1557,935,47.40,27.80,,,,
2023-11-29T08:53:47+00:00,69,1943,1615,1629,1539,933,46.10,27.80,,,,
2023-11-29T09:35:26+00:00,70,1961,1628,1640,1575,957,46.70,27.60,,,,
2023-11-29T10:17:07+00:00,71,1956,1616,1632,1554,970,47.70,27.50,,,,
2023-11-29T10:58:46+00:00,72,1953,1612,1632,1555,959,46.70,27.40,,,,
2023-11-29T11:40:26+00:00,73,1968,1635,1662,1554,971,46.10,27.50,,,,
2023-11-29T12:22:09+00:00,74,1986,1664,1694,1565,973,46.60,27.50,,,,
2023-11-29T13:03:47+00:00,75,1971,1647,1681,1533,991,48.20,27.40,,,,
